2026-07-09 02:15:27,145 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:15:27,254 | INFO | ------------------------------------------------------------
2026-07-09 02:15:27,254 | INFO | Новых сигналов : 0
2026-07-09 02:15:27,255 | INFO | Пропущено       : 12
2026-07-09 02:15:27,255 | INFO | Сброшено        : 0
2026-07-09 02:15:27,255 | INFO | Время цикла     : 10.93 сек
2026-07-09 02:15:27,255 | INFO | ------------------------------------------------------------
2026-07-09 02:16:38,070 | INFO | Проверено монет: 652
2026-07-09 02:16:38,251 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:16:38,259 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:16:38,279 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:16:38,281 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:16:38,288 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 02:16:38,326 | INFO | Уже отправлен: AINUSDT
2026-07-09 02:16:38,329 | INFO | Уже отправлен: TACUSDT
2026-07-09 02:16:38,331 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:16:38,357 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:16:38,382 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:16:38,400 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:16:38,402 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:16:38,513 | INFO | ------------------------------------------------------------
2026-07-09 02:16:38,514 | INFO | Новых сигналов : 0
2026-07-09 02:16:38,514 | INFO | Пропущено       : 12
2026-07-09 02:16:38,514 | INFO | Сброшено        : 0
2026-07-09 02:16:38,515 | INFO | Время цикла     : 11.22 сек
2026-07-09 02:16:38,515 | INFO | ------------------------------------------------------------
2026-07-09 02:17:09,408 | INFO | ============================================================
2026-07-09 02:17:09,409 | INFO | Binance Futures RSI Scanner v1.0.0
2026-07-09 02:17:09,409 | INFO | ============================================================
2026-07-09 02:17:20,102 | INFO | Проверено монет: 652
2026-07-09 02:17:20,290 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:17:20,297 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:17:20,316 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:17:20,318 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:17:20,325 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 02:17:20,360 | INFO | Уже отправлен: AINUSDT
2026-07-09 02:17:20,362 | INFO | Уже отправлен: TACUSDT
2026-07-09 02:17:20,364 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:17:20,388 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:17:20,409 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:17:20,424 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:17:20,426 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:17:20,536 | INFO | ------------------------------------------------------------
2026-07-09 02:17:20,536 | INFO | Проверено       : 652
2026-07-09 02:17:20,536 | INFO | Новых сигналов  : 0
